Year,Month,Total Trips
06/01/2016,6,6975486
07/01/2016,7,6568114
08/01/2016,8,6899284
09/01/2016,9,6697969
10/01/2016,10,6622439
11/01/2016,11,6456141
12/01/2016,12,6351524
01/01/2017,1,6322871
02/01/2017,2,5941183
03/01/2017,3,6875313
04/01/2017,4,6866496
05/01/2017,5,7139271
06/01/2017,6,7232171
07/01/2017,7,7123829
08/01/2017,8,7688498
09/01/2017,9,6971511
10/01/2017,10,7419573
11/01/2017,11,6827067
12/01/2017,12,6405132
01/01/2018,1,6474329
02/01/2018,2,6134165
03/01/2018,3,6756751
04/01/2018,4,6905537
05/01/2018,5,7314801
06/01/2018,6,7105021
07/01/2018,7,6858268
08/01/2018,8,7044351
09/01/2018,9,6544331
10/01/2018,10,7537344
11/01/2018,11,6707088
12/01/2018,12,6351416
